Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
257	257073620131019	35	107	2	28	16	114	0	1
257	257023520131102	35	156	1	26	16	258	1	0
257	27025720131109	30	127	3	42	30	441	3	2
257	257003720131116	25	117	3	49	33	415	2	1
257	334025720131123	40	230	3	42	31	372	5	1
257	257025520131130	37	138	3	36	22	299	2	1
257	463025720140101	43	96	0	39	21	320	1	1
277	657027720130829	31	23	0	41	16	208	1	4
277	277052820130907	25	69	0	32	18	170	1	1
277	277046620130921	36	133	0	45	24	243	1	4
277	96027720130928	35	54	2	46	24	377	3	2
277	630027720131005	33	87	1	53	29	386	3	3
277	277046520131012	26	129	1	47	24	325	4	0
277	156027720131026	29	32	1	57	31	386	2	2
277	277073120131102	25	59	0	44	22	260	1	3
277	277072620131109	47	218	1	33	29	246	3	0
277	626027720131116	47	161	1	37	18	194	2	1
277	277081120131123	42	125	2	50	37	499	6	1
277	725027720131130	52	285	3	34	24	323	4	1
288	665028820130830	50	372	4	38	26	255	4	0
288	288069020130907	48	219	1	48	29	305	0	0
288	288057420130921	37	165	1	36	18	329	3	1
288	288070620130928	32	150	2	39	26	341	4	0
288	404028820131012	29	38	2	32	14	209	1	0
288	77028820131019	29	48	0	47	31	435	4	3
288	288058720131026	38	211	2	35	28	400	5	0
288	651028820131031	26	95	2	30	23	293	3	0
288	288012820131109	29	136	1	46	24	231	1	2
288	288036720131116	29	74	1	35	16	121	0	0
288	140028820131123	31	33	0	41	18	245	1	0
288	663028820131129	30	120	2	42	25	245	2	2
288	736028820140104	27	146	1	49	21	238	2	2
295	295049720130831	36	139	0	28	19	230	1	0
295	295081120130907	46	139	1	33	23	205	0	0
295	503029520130914	62	191	3	26	15	247	2	0
295	295075420130921	49	79	0	25	18	174	0	1
295	690029520130928	33	168	1	44	26	310	1	0
295	96029520131005	43	96	0	40	17	177	2	4
295	295003020131012	39	165	2	41	15	212	1	1
295	295043320131026	36	87	1	30	12	166	1	0
295	670029520131102	38	145	1	35	20	181	2	0
295	523029520131109	47	177	3	34	16	328	2	2
295	295023420131123	35	59	0	45	21	286	2	4
295	295047220131130	37	209	0	42	21	250	1	1
301	659030120130831	30	49	2	37	29	415	2	1
301	140030120130907	39	210	2	37	26	312	4	0
301	756030120130914	36	136	2	26	10	191	1	1
301	414030120130928	43	289	2	33	23	312	5	2
301	301046320131005	48	195	2	31	16	177	0	1
301	796030120131019	29	72	2	34	26	319	2	0
301	416030120131026	21	25	0	21	13	103	0	1
301	301053920131102	24	90	1	52	33	321	1	2
301	301030620131109	34	162	3	58	38	450	2	1
301	518030120131116	38	132	2	50	33	288	2	2
301	301055920131123	37	123	0	31	24	257	2	2
301	509030120131130	32	185	2	45	31	307	2	1
306	305030620130829	54	313	3	30	17	319	6	2
306	726030620130907	26	118	1	43	31	363	4	1
306	71030620130914	48	266	4	26	17	335	2	0
306	434030620130921	26	98	2	53	29	377	2	3
306	539030620131005	41	150	3	39	24	336	2	1
306	306041620131012	27	92	2	47	25	259	2	1
306	306041820131019	33	162	2	43	24	410	4	2
306	428030620131102	37	227	2	38	21	269	3	0
306	301030620131109	43	371	4	28	21	279	3	1
306	306079620131116	30	102	0	30	12	122	0	1
306	306051820131123	39	122	0	53	32	320	2	0
306	559030620131130	54	401	2	40	26	291	6	2
311	504031120130831	44	168	0	32	22	242	2	0
311	312031120130914	24	59	0	39	22	260	3	2
311	311071920130926	44	179	3	42	26	255	2	1
311	703031120131003	50	201	1	27	16	262	2	1
311	311070020131012	39	143	3	39	15	168	1	0
311	311005120131019	33	41	0	27	15	133	1	2
311	521031120131026	48	154	2	38	18	192	2	1
311	311032720131102	34	122	1	36	17	126	0	3
311	698031120131109	42	110	1	40	19	173	0	0
311	311052220131116	34	103	1	36	22	188	0	2
311	328031120131123	43	202	2	20	15	300	2	1
311	311076820131130	53	244	2	39	25	331	4	1
312	503031220130831	43	202	1	37	21	256	1	2
312	669031220130907	57	298	4	28	19	193	0	1
312	312031120130914	60	218	1	23	14	160	2	0
312	774031220130921	58	258	2	18	11	188	2	0
