Player Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int	Rec	Rec Yards	Rec TD	Field Goal Att	Field Goal Made	Points	Fumble	Tackle Solo	Sack	Fumble Forced	Int Ret	Punt	Punt Yard
1054127	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1031638	5012820130829	1	5	0	4	2	18	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1031638	317000520130907	3	-20	1	10	6	144	2	0	0	0	0	0	0	6	0	0	0.0	0	0	0	0
1031638	331000520131102	1	-8	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0	0	0	0
1054139	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1054139	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1054139	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1054139	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1054139	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1054139	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1054139	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1054139	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
1054139	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1054139	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1030814	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1030814	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	1	0	0
1030814	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1030814	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0	0	0	0	0
1030814	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0	0	0	0	0
1030814	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1030814	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1030814	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0	0	0	0
1030814	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1030814	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	1	0	0
1030814	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0	0	0	0
1046147	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1046147	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046147	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046147	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
1046147	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5012820130829	10	50	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	317000520130907	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5041820130914	9	38	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0.0	0	0	0	0
1046126	671000520130921	10	50	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5007120130928	2	10	0	0	0	0	0	0	1	-2	0	0	0	0	0	0	0.0	0	0	0	0
1046126	519000520131005	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5050320131012	9	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5041420131019	12	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	47000520131026	11	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	331000520131102	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046126	5040020131116	11	57	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0.0	0	0	0	0
1046126	709000520131129	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1023647	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1023647	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.5	1	0	0	0
1023647	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1023647	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1023647	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3.0	1	0	0	0
1023647	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
